frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_levl,general_standard_num
3117,兢,jīng,"fearful, cautious, wary",儿,10.12,14,6,3077
3118,糙,cāo,"coarse, harsh, rough, unpolished rice",米,119.11,16,5,3373
3119,卦,guà,fortune telling; tell fortunes,卜,25.6,8,6,954
3120,槐,huái,locust tree,木,75.1,13,6,2868
3121,扒,bā,scratch; dig up; crawl; crouch,手,64.2,5,6,201
3122,裴,péi,surname; look of a flowing gown,衣,145.8,14,6,5688
3123,祀,sì,"to sacrifice, worship",示,113.3,7,6,891
3124,埔,bù,"plain, arena; port, market",土,32.7,10,6,4413
3125,絮,xù,"waste cotton, raw silk or cotton",糸,120.6,12,6,2809
3126,芭,bā,plantain or banana palm; fragrant,艸,140.4,7,6,676
3127,屉,tì,drawer; tray; pad; screen,尸,44.5,8,5,1307
3128,痪,huàn,"paralysis, numbness of limbs",疒,104.7,12,6,2733
3129,霄,xiāo,"sky; clouds, mist; night",雨,173.7,15,6,3230
3130,绽,zhàn,"ripped seam, rend, crack",糸,120.8,11,6,2497
3131,宵,xiāo,"night, evening, dark",宀,40.7,10,6,2100
3132,邑,yì,"area, district, city, state",邑,163,7,6,748
3133,霖,lín,"long spell of rain, copious rain",雨,173.8,16,6,6076
3134,岔,chà,"diverge, branch off; fork in road",山,46.4,7,6,802
3135,饵,ěr,"bait; bait, entice; dumplings",食,184.6,9,6,1610
3136,茄,jiā,eggplant,艸,140.5,8,6,1013
3137,韧,rèn,"strong and pliable, resilient",韋,178.3,7,6,610
3138,琪,qí,type of jade,玉,96.8,12,6,5045
3139,邹,zōu,name of an ancient state; surname,邑,163.5,7,6,3749
3140,瑚,hú,coral; person of virtue,玉,96.9,13,6,5340
3141,憋,biē,to suppress inner feelings; hasty,心,61.12,15,6,3289
3142,殆,dài,"dangerous, perilous; endanger",歹,78.5,9,6,4177
3143,噜,lū,"verbose, talkative; mumbling",口,30.12,15,6,5935
3144,忒,tè,excessive; too; very-usually of objectionable things; to err; to mistake; changeable,心,61.3,7,6,3689
3145,忿,fèn,"get angry; fury, exasperation",心,61.4,8,6,1179
3146,衅,xìn,consecrate sacrificial vessels by smearing blood; rift,血,143.5,11,6,2338
3147,淳,chún,"honest, simple, unsophisticated; cyanogen; ethane dinitrile",水,85.8,11,6,2427
3148,悖,bèi,"be contradictory to, go counter",心,61.7,10,6,2090
3149,髦,máo,flowing hair of young child,髟,190.4,14,5,5630
3150,孜,zī,be as diligent as possible,子,39.4,7,6,3801
3151,粤,yuè,Guangdong and Guangxi provinces; initial particle,米,119.6,12,6,2700
3152,隘,ài,"narrow, confined; a strategic pass",阜,170.1,12,6,2807
3153,濒,bīn,"approach, be on verge of; near",水,85.13,16,6,3377
3154,铮,zhēng,clanging sound; small gong,金,167.8,11,6,4881
3155,畸,jī,"odd, fractional, remainder, odds",田,102.8,13,6,2912
3156,剔,tī,pick out; scrape off; scrape meat,刀,18.8,10,6,1896
3157,坞,wù,"entrenchment, bank, low wall",土,32.4,7,6,3655
3158,篱,lí,bamboo or wooden fence; hedge,竹,118.11,16,6,3360
3159,淀,diàn,"shallow water, swamp; swampy",水,85.8,11,6,2431
3160,蓦,mò,"suddenly, quickly, abruptly",馬,187.1,13,6,5373
3161,唬,hǔ,to intimidate; to scare,口,30.8,11,6,2281
3162,锣,luó,gong,金,167.8,13,6,2939
